time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Plot,Plot,Plot,Volume,Volume MA,EMA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low
1331559000,2.312664,2.41933,2.306665,2.400664,2.375553,2.375553,2.375553,2.375553,2.375553,2.375553,2.375553,2.41933,2.306665,2.312664,29467829,16848705,1.9297836789531804,1.9219180045383388,NaN,NaN,NaN,NaN,NaN,NaN
1331645400,2.433997,2.439331,2.366664,2.405998,2.4039976666666667,2.4039976666666667,2.4039976666666667,2.4039976666666667,2.4039976666666667,2.4039976666666667,2.4039976666666667,2.439331,2.366664,2.433997,15024660,16731543.65,1.9345221299088702,1.9257503089707932,NaN,NaN,NaN,NaN,NaN,NaN
1331731800,2.399998,2.399998,2.319998,2.352664,2.357553333333333,2.357553333333333,2.357553333333333,2.357553333333333,2.357553333333333,2.357553333333333,2.357553333333333,2.399998,2.319998,2.399998,12771972,16011617.15,1.9386827455316675,1.9298323735581486,NaN,NaN,NaN,NaN,NaN,NaN
1331818200,2.351998,2.365331,2.318664,2.333331,2.3391086666666663,2.3391086666666663,2.3391086666666663,2.3391086666666663,2.3391086666666663,2.3391086666666663,2.3391086666666663,2.365331,2.318664,2.351998,8573948,14366955.5,1.9426095938348351,1.9341298723287146,NaN,NaN,NaN,NaN,NaN,NaN
1331904600,2.326664,2.392664,2.321998,2.354665,2.3564423333333333,2.3564423333333333,2.3564423333333333,2.3564423333333333,2.3564423333333333,2.3564423333333333,2.3564423333333333,2.392664,2.321998,2.326664,10938550,13249154.35,1.9467096476275234,1.9384615591712149,NaN,NaN,NaN,NaN,NaN,NaN
1332163800,2.350664,2.354665,2.302664,2.331998,2.3297756666666665,2.3297756666666665,2.3297756666666665,2.3297756666666665,2.3297756666666665,2.3297756666666665,2.3297756666666665,2.354665,2.302664,2.350664,15233805,12978359.85,1.9505433625765032,1.9426134958958794,NaN,NaN,NaN,NaN,NaN,NaN
1332250200,2.331998,2.346664,2.304665,2.330665,2.3273313333333334,2.3273313333333334,2.3273313333333334,2.3273313333333334,2.3273313333333334,2.3273313333333334,2.3273313333333334,2.346664,2.304665,2.331998,8505023,12551769.15,1.9543256674264882,1.946574203399403,NaN,NaN,NaN,NaN,NaN,NaN
1332336600,2.329331,2.353331,2.306665,2.34333,2.3344419999999997,2.3344419999999997,2.3344419999999997,2.3344419999999997,2.3344419999999997,2.3344419999999997,2.3344419999999997,2.353331,2.306665,2.329331,9106554,11765856.9,1.9581963573028416,1.9504769257536378,NaN,NaN,NaN,NaN,NaN,NaN
1332423000,2.331331,2.34333,2.286664,2.29333,2.3077746666666665,2.3077746666666665,2.3077746666666665,2.3077746666666665,2.3077746666666665,2.3077746666666665,2.3077746666666665,2.34333,2.286664,2.331331,7835302,11542362.65,1.9615310204142562,1.954261211069522,NaN,NaN,NaN,NaN,NaN,NaN
1332509400,2.283997,2.308664,2.209997,2.271998,2.263553,2.263553,2.263553,2.263553,2.263553,2.263553,2.263553,2.308664,2.209997,2.283997,17558522,11700388.55,1.9646202440917262,1.9578433303623626,NaN,NaN,NaN,NaN,NaN,NaN
1332768600,2.372664,2.539331,2.336091,2.49333,2.456250666666667,2.456250666666667,2.456250666666667,2.456250666666667,2.456250666666667,2.456250666666667,2.456250666666667,2.539331,2.336091,2.372664,47113412,13601593.95,1.9698810376828533,1.9617108653836326,NaN,NaN,NaN,NaN,NaN,NaN
1332855000,2.477331,2.663331,2.468664,2.529331,2.5537753333333333,2.5537753333333333,2.5537753333333333,2.5537753333333333,2.5537753333333333,2.5537753333333333,2.5537753333333333,2.663331,2.468664,2.477331,38100833,15047497.9,1.9754477039745661,1.9659352726932482,NaN,NaN,NaN,NaN,NaN,NaN
