time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Plot,Plot,Plot,Volume,Volume MA,EMA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low
1337347800,42.05,45,38,38.2318,40.410599999999995,40.410599999999995,40.410599999999995,40.410599999999995,40.410599999999995,40.410599999999995,40.410599999999995,45,38,42.05,580587776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1337607000,36.53,36.66,33,34.03,34.56333333333333,34.56333333333333,34.56333333333333,34.56333333333333,34.56333333333333,34.56333333333333,34.56333333333333,36.66,33,36.53,168309808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1337693400,32.61,33.59,30.94,31,31.843333333333334,31.843333333333334,31.843333333333334,31.843333333333334,31.843333333333334,31.843333333333334,31.843333333333334,33.59,30.94,32.61,102053808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1337779800,31.37,32.5,31.36,32,31.953333333333333,31.953333333333333,31.953333333333333,31.953333333333333,31.953333333333333,31.953333333333333,31.953333333333333,32.5,31.36,31.37,73721120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1337866200,32.95,33.21001,31.77,33.03,32.670003333333334,32.670003333333334,32.670003333333334,32.670003333333334,32.670003333333334,32.670003333333334,32.670003333333334,33.21001,31.77,32.95,50275872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1337952600,32.89999,32.95,31.11,31.91,31.989999999999995,31.990000337174784,31.989999662825205,31.990000674349574,31.989999325650416,31.990001011524363,31.989998988475627,32.95,31.11,32.89999,37189632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338298200,31.48,31.69,28.64999,28.84,29.72666333333333,29.72666381017049,29.726662856496173,29.726664287007647,29.726662379659015,29.726664763844806,29.726661902821856,31.69,28.64999,31.48,78060816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338384600,28.69501,29.55,27.86,28.19,28.53333333333333,28.53333333333333,28.53333333333333,28.53333333333333,28.53333333333333,28.53333333333333,28.53333333333333,29.55,27.86,28.69501,57267872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338471000,28.545,29.67,26.83,29.60001,28.70000333333333,28.70000333333333,28.70000333333333,28.70000333333333,28.70000333333333,28.70000333333333,28.70000333333333,29.67,26.83,28.545,111639184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338557400,28.892,29.14999,27.39,27.72,28.086663333333338,28.086663333333338,28.086663333333338,28.086663333333338,28.086663333333338,28.086663333333338,28.086663333333338,29.14999,27.39,28.892,41855504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338816600,27.2,27.64999,26.44,26.89999,26.996660000000002,26.996660000000002,26.996660000000002,26.996660000000002,26.996660000000002,26.996660000000002,26.996660000000002,27.64999,26.44,27.2,35230288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338903000,26.7,27.75999,25.75,25.869,26.45966333333333,26.45966381017049,26.459662856496173,26.459664287007648,26.459662379659015,26.459664763844806,26.459661902821857,27.75999,25.75,26.7,42473264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1338989400,26.07001,27.17,25.52,26.81,26.5,26.5,26.5,26.5,26.5,26.5,26.5,27.17,25.52,26.07001,61487024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1339075800,27,27.35001,26.14999,26.31,26.603333333333335,26.603333333333335,26.603333333333335,26.603333333333335,26.603333333333335,26.603333333333335,26.603333333333335,27.35001,26.14999,27,26167760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1339162200,26.55,27.75999,26.44,27.10001,27.099999999999998,27.099999999999998,27.099999999999998,27.099999999999998,27.099999999999998,27.099999999999998,27.099999999999998,27.75999,26.44,26.55,38033424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1339421400,27.17999,28.07001,26.83501,27.005,27.303340000000002,27.303340000000002,27.303340000000002,27.303340000000002,27.303340000000002,27.303340000000002,27.303340000000002,28.07001,26.83501,27.17999,28225888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1339507800,27.48,27.77,26.96001,27.39999,27.376666666666665,27.376666666666665,27.376666666666665,27.376666666666665,27.376666666666665,27.376666666666665,27.376666666666665,27.77,26.96001,27.48,15822414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1339594200,27.66,28.10001,27.10001,27.27,27.49000666666667,27.49000666666667,27.49000666666667,27.49000666666667,27.49000666666667,27.49000666666667,27.49000666666667,28.10001,27.10001,27.66,17118672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1339680600,27.64999,28.32001,27.38,28.28999,27.996666666666666,27.996666666666666,27.996666666666666,27.996666666666666,27.996666666666666,27.996666666666666,27.996666666666666,28.32001,27.38,27.64999,16854128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1339767000,28.505,30.10001,28.35001,30.01401,29.488010000000006,29.488010000000006,29.488010000000006,29.488010000000006,29.488010000000006,29.488010000000006,29.488010000000006,30.10001,28.35001,28.505,43563744,81296899.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1340026200,29.955,32.08,29.41,31.41,30.966666666666665,30.966667003841454,30.966666329491876,30.966667341016244,30.966665992317086,30.966667678191033,30.966665655142297,32.08,29.41,29.955,42978208,54416421.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1340112600,31.535,32.17999,30.7,31.911,31.596996666666666,31.596996666666666,31.596996666666666,31.596996666666666,31.596996666666666,31.596996666666666,31.596996666666666,32.17999,30.7,31.535,30848912,47543376.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1340199000,31.92,31.9288,31.14999,31.60001,31.5596,31.5596,31.5596,31.5596,31.5596,31.5596,31.5596,31.9288,31.14999,31.92,15558922,43218632.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1340285400,31.67,32.5,31.50999,31.84,31.949996666666667,31.949997003841457,31.949996329491878,31.949997341016246,31.94999599231709,31.949997678191036,31.9499956551423,32.5,31.50999,31.67,21875232,40626338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1340371800,32.41,33.45,32.06,33.05,32.85333333333333,32.85333333333333,32.85333333333333,32.85333333333333,32.85333333333333,32.85333333333333,32.85333333333333,33.45,32.06,32.41,74834000,41854244.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1340631000,32.86,33.02,31.55,32.06,32.21,32.21,32.21,32.21,32.21,32.21,32.21,33.02,31.55,32.86,24352816,41212403.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1340717400,32.69,33.44,32.5,33.10001,33.01333666666667,33.01333666666667,33.01333666666667,33.01333666666667,33.01333666666667,33.01333666666667,33.01333666666667,33.44,32.5,32.69,24858608,38552293.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
